                                                                                                                                                                                         
{'loss_mask': 0.6999932527542114, 'loss_dice': 2.862558364868164, 'loss_llm': 0.000133514404296875, 'loss_attention': -0.25675779581069946, 'epoch': 8.9}
{'loss_mask': 0.6450299024581909, 'loss_dice': 2.8948779106140137, 'loss_llm': 1.4901161193847656e-05, 'loss_attention': -0.4345752000808716, 'epoch': 8.9}
{'loss': 29.6462, 'grad_norm': 188.76766088862595, 'learning_rate': 1.8883422017385076e-05, 'epoch': 8.9}
{'loss_mask': 0.9524016976356506, 'loss_dice': 7.08023738861084, 'loss_llm': 0.0001697540283203125, 'loss_attention': -0.7581250071525574, 'epoch': 8.9}
{'loss_mask': 0.5213168263435364, 'loss_dice': 22.264375686645508, 'loss_llm': 4.57763671875e-05, 'loss_attention': 0.45906248688697815, 'epoch': 8.9}
{'loss_mask': 7.078936576843262, 'loss_dice': 14.408885955810547, 'loss_llm': 0.000255584716796875, 'loss_attention': 0.48873046040534973, 'epoch': 8.9}
{'loss_mask': 1.1942634582519531, 'loss_dice': 2.0921950340270996, 'loss_llm': 3.2186508178710938e-06, 'loss_attention': -0.4857812523841858, 'epoch': 8.9}
{'loss_mask': 3.6806414127349854, 'loss_dice': 2.192549228668213, 'loss_llm': 8.821487426757812e-06, 'loss_attention': -0.04879394546151161, 'epoch': 8.9}
{'loss_mask': 39.419010162353516, 'loss_dice': 19.90736198425293, 'loss_llm': 6.22868537902832e-06, 'loss_attention': 1.9345312118530273, 'epoch': 8.9}
{'loss_mask': 1.066137671470642, 'loss_dice': 3.2799019813537598, 'loss_llm': 1.7523765563964844e-05, 'loss_attention': -0.4697265625, 'epoch': 8.9}
{'loss_mask': 10.463003158569336, 'loss_dice': 29.60247230529785, 'loss_llm': 0.0001068115234375, 'loss_attention': 1.8066991567611694, 'epoch': 8.9}
{'loss_mask': 1.5292096138000488, 'loss_dice': 16.881559371948242, 'loss_llm': 8.761882781982422e-06, 'loss_attention': -0.28788816928863525, 'epoch': 8.9}
{'loss_mask': 0.31676676869392395, 'loss_dice': 4.699811935424805, 'loss_llm': 2.2292137145996094e-05, 'loss_attention': 1.9953124523162842, 'epoch': 8.9}
{'loss': 19.5981, 'grad_norm': 210.93961934699203, 'learning_rate': 1.8858077068529118e-05, 'epoch': 8.9}
{'loss_mask': 1.500279188156128, 'loss_dice': 3.7045159339904785, 'loss_llm': 1.0967254638671875e-05, 'loss_attention': -0.4079296886920929, 'epoch': 8.9}
