                                                                                                                       
{'loss_mask': 12.359151840209961, 'loss_dice': 21.37063980102539, 'loss_llm': 2.421875, 'loss_attention': 0.0, 'loss_itaa': 0.04053743556141853, 'epoch': 0.01}
{'loss_mask': 50.53725051879883, 'loss_dice': 47.61262512207031, 'loss_llm': 3.0625, 'loss_attention': 0.0, 'loss_itaa': 0.04389763996005058, 'epoch': 0.01}
{'loss_mask': 19.31923484802246, 'loss_dice': 35.40355682373047, 'loss_llm': 2.609375, 'loss_attention': 0.0, 'loss_itaa': 0.045252617448568344, 'epoch': 0.01}
{'loss_mask': 12.426138877868652, 'loss_dice': 47.61754608154297, 'loss_llm': 1.84375, 'loss_attention': 0.0, 'loss_itaa': 0.041058868169784546, 'epoch': 0.01}
{'loss_mask': 4.5157928466796875, 'loss_dice': 49.79180145263672, 'loss_llm': 2.21875, 'loss_attention': 0.0, 'loss_itaa': 0.04262803867459297, 'epoch': 0.01}
{'loss_mask': 28.540733337402344, 'loss_dice': 49.96982192993164, 'loss_llm': 2.171875, 'loss_attention': 0.0, 'loss_itaa': 0.04354553297162056, 'epoch': 0.01}
{'loss_mask': 28.99657440185547, 'loss_dice': 15.402183532714844, 'loss_llm': 2.09375, 'loss_attention': 0.0, 'loss_itaa': 0.04117950424551964, 'epoch': 0.01}
{'loss': 72.1101, 'grad_norm': 524.7331580975527, 'learning_rate': 3.111111111111111e-05, 'epoch': 0.01}
{'loss_mask': 6.3041605949401855, 'loss_dice': 49.7630500793457, 'loss_llm': 1.6953125, 'loss_attention': 0.0, 'loss_itaa': 0.044021207839250565, 'epoch': 0.01}
{'loss_mask': 6.484524726867676, 'loss_dice': 49.94362258911133, 'loss_llm': 2.0, 'loss_attention': 0.0, 'loss_itaa': 0.040785957127809525, 'epoch': 0.01}
